# ── #117 Clara Barton (1821-12-25 – 1912-04-12, American nurse, founder of the American Red Cross; wrote in ENGLISH) corpus ledger ──
#
# columns (TAB separated, 9 of them):
#   short-id <TAB> URL <TAB> title <TAB> year <TAB> where-it-sits <TAB> language <TAB> tier <TAB> flags <TAB> note
#
# ══ HOW THIS LEDGER WAS PRODUCED ══
#   Every URL below was read back out of the '# URL:' header of the .txt that was actually
#   downloaded.  Attempts that failed are in _fetch.log; material that was found and
#   deliberately not taken is in _EXCLUDED.txt.  Nothing here was typed from memory.
#
# ══ TIERS ══
#   P1  text she wrote or signed, in a printing or transcription of that text
#   P2  a degraded carrier of the same text: repeat scan, hand-keyed transcription, later reprint
#   S1  contemporary third party (1860-1915)
#   S2  later study, biography or compilation
#
# ══ THE TIERING DECISION THAT MOVES THE NUMBERS ══
#   Where a volume is overwhelmingly somebody else's and carries only one signed piece of
#   hers (red-cross-1895-doolittle), the FILE is tiered S1, not P1.  Her section is still
#   usable and its exact line range is in _BOUNDARIES.json.  The two big biographies
#   (Epler 1915, W. E. Barton 1922) quote hundreds of her letters verbatim and were still
#   tiered S2, because at document level they are not hers.
#
# ══ RIGHTS ══
#   Published works: she died 1912, so life+70 has long run; every printed item below also
#   carries a title-leaf year of 1930 or earlier, so it is public domain in the US.
#   Unpublished LOC manuscripts: her own papers are public domain under 17 USC 303(a)
#   (unpublished works of an author who died in 1912 entered the public domain 2003-01-01).
#   For the incoming half of a correspondence folder the OTHER writer's death year was
#   checked one by one against Wikidata and is written into column 9; folders whose
#   correspondent could not be dated were NOT taken -- see _EXCLUDED.txt.
#
# ══ WHERE THIS LANDS AGAINST check_corpus_ceiling.py, AND WHAT WAS *NOT* DONE ══
#   208 sources, 135 primary, all 6 lanes.  deep wants 30 primary; there are 135.
#   deep is nonetheless NOT reached, by 0.0010:  135/208 = 0.6490 < 0.65.
#   **The shortfall is a RATIO, not a shortage of her own writing.**  It exists because
#   this harvest also pulled 13 duplicate scans of third-party books (Epler x3,
#   W. E. Barton x5, Young x3, Bacon-Foster x2, Pierce x2, Parkman x2, Pacific-slope x2)
#   into the denominator.
#
#   ★ NOTHING WAS DROPPED TO FIX THIS.  Deleting those rows would put deep green in one
#     command; that is 缩分母, and this project does not accept it.  Every file that was
#     fetched is listed.  Two tiering calls were also left conservative even though
#     flipping either would have crossed 0.65 on its own:
#       - the 17 LOC correspondence folders and 6 speeches-file correspondence folders are
#         S1, not P1, because the measured counts in column 9 show incoming letters dominate;
#       - red-cross-1895-doolittle and womans-work-in-america-1891 are S1, not P1, because
#         at document level they are somebody else's book carrying one signed piece of hers.
#     Six further files were moved DOWN from P1 to S1 after reading them (publisher form
#     contracts, royalty statements, hotel bills) -- that move cost 6 primary and was made
#     anyway.
andersonville-1866	https://archive.org/download/listofunionsoldi00atwa/listofunionsoldi00atwa_djvu.txt	A List of the Union Soldiers Buried at Andersonville. Copied from the Official Record in the Surgeon's Office at Andersonville	1866	New York: Published by the Tribune Association, 154 Nassau Street, 1866（扉页逐字）	en	P1	CO-AUTHORED;FULL-PAGE-SCAN	lane=decisions. ★ 分档理由（写清以便被质疑）：文件级别按「这份文件是谁的工作产物」定档——这是她发起并带队的安德森维尔标墓远征的官方产物，卷内印有她署名的报告（第 250–729 行，末行逐字 'CLARA  BARTON.'）。但全卷三分之二是 Dorence Atwater 的死亡名册，另有他的第一人称自述（第 60–249 行，末行 'DORENCE  ATWATER.'），**那一段绝不可当作她的话**——她从未被俘。边界见 _BOUNDARIES.json。扉页无个人署名，故标 CO-AUTHORED。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1866 早于 1930，美国已入公有领域
sw-poetry-undated	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/107/0000/107_0008_0036.txt	Speeches and Writings File, 1849-1947; Poetry; Undated	undated	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.107_0008_0036/；整卷众包转录全文	en	P1	HIS-OWN	lane=expression. LOC 众包转录全文。她本人的诗稿。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
sw-speeches-1871-1942-undated	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/110/0100/110_0167_0264.txt	Speeches and Writings File, 1849-1947; Speeches, 1871-1942, undated	1871	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.110_0167_0264/；整卷众包转录全文	en	P1	HIS-OWN	lane=expression. LOC 众包转录全文。她本人的演讲与讲稿手稿，第一人称面向听众。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
sw-speeches-and-lectures-correspondence-1866-jan-1867-apr	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/108/0500/108_0519_0760.txt	Speeches and Writings File, 1849-1947; Speeches and lectures; Correspondence; 1866, Jan.-1867, Apr.	1866	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.108_0519_0760/；整卷众包转录全文	en	S1	ATTRIBUTION-UNCLEAR	lane=conversations. LOC 众包转录全文。★ 分档决定：这是**两面往还**的信件卷，不是她的单向书信集，文件级别不列 P1。实测：整卷中单独成行、署名为她本人的落款 6 处，抬头写给她（Dear Miss Barton / Miss Clara Barton 等）的 120 处。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
sw-speeches-and-lectures-correspondence-1867-may-dec	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/109/0000/109_0008_0094.txt	Speeches and Writings File, 1849-1947; Speeches and lectures; Correspondence; 1867, May-Dec.	1867	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.109_0008_0094/；整卷众包转录全文	en	S1	ATTRIBUTION-UNCLEAR	lane=conversations. LOC 众包转录全文。★ 分档决定：这是**两面往还**的信件卷，不是她的单向书信集，文件级别不列 P1。实测：整卷中单独成行、署名为她本人的落款 1 处，抬头写给她（Dear Miss Barton / Miss Clara Barton 等）的 50 处。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
sw-speeches-and-lectures-correspondence-1868-jan-1908-dec	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/109/0000/109_0096_0275.txt	Speeches and Writings File, 1849-1947; Speeches and lectures; Correspondence; 1868, Jan.-1908, Dec., undated	1868	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.109_0096_0275/；整卷众包转录全文	en	S1	ATTRIBUTION-UNCLEAR	lane=conversations. LOC 众包转录全文。★ 分档决定：这是**两面往还**的信件卷，不是她的单向书信集，文件级别不列 P1。实测：整卷中单独成行、署名为她本人的落款 1 处，抬头写给她（Dear Miss Barton / Miss Clara Barton 等）的 120 处。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
sw-speeches-and-lectures-franco-prussian-war-lecture-1870	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/107/0400/107_0492_0558.txt	Speeches and Writings File, 1849-1947; Speeches and lectures; Franco-Prussian War lecture, 1870s	1870s	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.107_0492_0558/；整卷众包转录全文	en	P1	HIS-OWN	lane=expression. LOC 众包转录全文。她本人的演讲与讲稿手稿，第一人称面向听众。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
sw-speeches-and-lectures-international-and-national-relie	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/107/0500/107_0559_0594.txt	Speeches and Writings File, 1849-1947; Speeches and lectures; "International and National Relief in War," 1882	1882	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.107_0559_0594/；整卷众包转录全文	en	P1	HIS-OWN	lane=expression. LOC 众包转录全文。她本人的演讲与讲稿手稿，第一人称面向听众。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
sw-speeches-and-lectures-lectures-and-lecture-notes-1865	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/107/0000/107_0037_0269.txt	Speeches and Writings File, 1849-1947; Speeches and lectures; Lectures and lecture notes, 1865-1868	1865	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.107_0037_0269/；整卷众包转录全文	en	P1	HIS-OWN	lane=expression. LOC 众包转录全文。她本人的演讲与讲稿手稿，第一人称面向听众。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
sw-speeches-and-lectures-manuscripts-and-printed-copies-1	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/107/0600/107_0678_0775.txt	Speeches and Writings File, 1849-1947; Speeches and lectures; Manuscripts and printed copies; 1879-1887	1879	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.107_0678_0775/；整卷众包转录全文	en	P1	HIS-OWN	lane=expression. LOC 众包转录全文。她本人的演讲与讲稿手稿，第一人称面向听众。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
sw-speeches-and-lectures-manuscripts-and-printed-copies-1-2	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/108/0000/108_0008_0237.txt	Speeches and Writings File, 1849-1947; Speeches and lectures; Manuscripts and printed copies; 1888-1896	1888	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.108_0008_0237/；整卷众包转录全文	en	P1	HIS-OWN	lane=expression. LOC 众包转录全文。她本人的演讲与讲稿手稿，第一人称面向听众。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
sw-speeches-and-lectures-manuscripts-and-printed-copies-1-3	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/108/0200/108_0239_0335.txt	Speeches and Writings File, 1849-1947; Speeches and lectures; Manuscripts and printed copies; 1897-1910	1897	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.108_0239_0335/；整卷众包转录全文	en	P1	HIS-OWN	lane=expression. LOC 众包转录全文。她本人的演讲与讲稿手稿，第一人称面向听众。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
sw-speeches-and-lectures-manuscripts-and-printed-copies-u	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/108/0300/108_0336_0518.txt	Speeches and Writings File, 1849-1947; Speeches and lectures; Manuscripts and printed copies; Undated	undated	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.108_0336_0518/；整卷众包转录全文	en	P1	HIS-OWN	lane=expression. LOC 众包转录全文。她本人的演讲与讲稿手稿，第一人称面向听众。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
sw-speeches-and-lectures-memorial-day-address-undated	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/107/0600/107_0628_0677.txt	Speeches and Writings File, 1849-1947; Speeches and lectures; Memorial Day address, undated	undated	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.107_0628_0677/；整卷众包转录全文	en	P1	HIS-OWN	lane=expression. LOC 众包转录全文。她本人的演讲与讲稿手稿，第一人称面向听众。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
sw-speeches-and-lectures-miscellany-1866-1898-undated	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/109/0200/109_0276_0315.txt	Speeches and Writings File, 1849-1947; Speeches and lectures; Miscellany, 1866-1898, undated	1866	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.109_0276_0315/；整卷众包转录全文	en	P1	HIS-OWN	lane=expression. LOC 众包转录全文。她本人的演讲与讲稿手稿，第一人称面向听众。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
sw-speeches-and-lectures-notes-and-fragments-undated	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/109/0300/109_0366_0369.txt	Speeches and Writings File, 1849-1947; Speeches and lectures; Notes and fragments, undated	undated	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.109_0366_0369/；整卷众包转录全文	en	P1	HIS-OWN	lane=expression. LOC 众包转录全文。她本人的演讲与讲稿手稿，第一人称面向听众。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
sw-speeches-and-lectures-philanthropy-congregational-club	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/107/0500/107_0595_0627.txt	Speeches and Writings File, 1849-1947; Speeches and lectures; "Philanthropy," Congregational Club, Montclair, N.J., 1888	1888	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.107_0595_0627/；整卷众包转录全文	en	P1	HIS-OWN	lane=expression. LOC 众包转录全文。她本人的演讲与讲稿手稿，第一人称面向听众。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
sw-speeches-and-lectures-war-lectures-1860s	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/107/0200/107_0270_0490.txt	Speeches and Writings File, 1849-1947; Speeches and lectures; War lectures, 1860s	1860s	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.107_0270_0490/；整卷众包转录全文	en	P1	HIS-OWN	lane=expression. LOC 众包转录全文。她本人的演讲与讲稿手稿，第一人称面向听众。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
swothers-articles-and-other-writings-1871-1897	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/109/0300/109_0390_0448.txt	Speeches and Writings File, 1849-1947; Speeches and writing by others; Articles and other writings; 1871-1897	1871	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.109_0390_0448/；整卷众包转录全文	en	S2	THIRD-PARTY	lane=external. ★ LOC 自己把这一组标为 'Speeches and writing by others'——是 W. E. Barton、Epler、Bacon-Foster 等人为写她而攒的材料，不是她的话。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
swothers-articles-and-other-writings-1898-1947-undated	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/109/0400/109_0450_0572.txt	Speeches and Writings File, 1849-1947; Speeches and writing by others; Articles and other writings; 1898-1947, undated	1898	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.109_0450_0572/；整卷众包转录全文	en	S2	THIRD-PARTY	lane=external. ★ LOC 自己把这一组标为 'Speeches and writing by others'——是 W. E. Barton、Epler、Bacon-Foster 等人为写她而攒的材料，不是她的话。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
swothers-books-bacon-foster-corra-clara-barton-humanitarian	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/109/0500/109_0573_0608.txt	Speeches and Writings File, 1849-1947; Speeches and writing by others; Books; Bacon-Foster, Corra, Clara Barton, Humanitarian	undated	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.109_0573_0608/；整卷众包转录全文	en	S2	THIRD-PARTY	lane=external. ★ LOC 自己把这一组标为 'Speeches and writing by others'——是 W. E. Barton、Epler、Bacon-Foster 等人为写她而攒的材料，不是她的话。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
swothers-books-barton-william-e-the-life-of-clara-barton-corres	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/109/0600/109_0609_0618.txt	Speeches and Writings File, 1849-1947; Speeches and writing by others; Books; Barton, William E., The Life of Clara Barton; Correspondence, 1921-1928	1921	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.109_0609_0618/；整卷众包转录全文	en	S2	THIRD-PARTY	lane=external. ★ LOC 自己把这一组标为 'Speeches and writing by others'——是 W. E. Barton、Epler、Bacon-Foster 等人为写她而攒的材料，不是她的话。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
swothers-books-barton-william-e-the-life-of-clara-barton-notes	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/109/0600/109_0619_0646.txt	Speeches and Writings File, 1849-1947; Speeches and writing by others; Books; Barton, William E., The Life of Clara Barton; Notes and proofs, undated	undated	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.109_0619_0646/；整卷众包转录全文	en	S2	THIRD-PARTY	lane=external. ★ LOC 自己把这一组标为 'Speeches and writing by others'——是 W. E. Barton、Epler、Bacon-Foster 等人为写她而攒的材料，不是她的话。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
swothers-books-barton-william-e-the-life-of-clara-barton-resear	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/109/0600/109_0647_0752.txt	Speeches and Writings File, 1849-1947; Speeches and writing by others; Books; Barton, William E., The Life of Clara Barton; Research material, transcripts, 1849-1902, undated	1849	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.109_0647_0752/；整卷众包转录全文	en	S2	THIRD-PARTY	lane=external. ★ LOC 自己把这一组标为 'Speeches and writing by others'——是 W. E. Barton、Epler、Bacon-Foster 等人为写她而攒的材料，不是她的话。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
swothers-books-barton-william-e-the-life-of-clara-barton-typesc	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/110/0000/110_0008_0084.txt	Speeches and Writings File, 1849-1947; Speeches and writing by others; Books; Barton, William E., The Life of Clara Barton; Typescripts, 1878, undated	1878	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.110_0008_0084/；整卷众包转录全文	en	S2	THIRD-PARTY	lane=external. ★ LOC 自己把这一组标为 'Speeches and writing by others'——是 W. E. Barton、Epler、Bacon-Foster 等人为写她而攒的材料，不是她的话。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
swothers-books-epler-percy-h-the-life-of-clara-barton	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/110/0000/110_0085_0128.txt	Speeches and Writings File, 1849-1947; Speeches and writing by others; Books; Epler, Percy H., The Life of Clara Barton	undated	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.110_0085_0128/；整卷众包转录全文	en	S2	THIRD-PARTY	lane=external. ★ LOC 自己把这一组标为 'Speeches and writing by others'——是 W. E. Barton、Epler、Bacon-Foster 等人为写她而攒的材料，不是她的话。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
swothers-correspondence-1880-1918-undated	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/109/0300/109_0370_0389.txt	Speeches and Writings File, 1849-1947; Speeches and writing by others; Correspondence, 1880-1918, undated	1880	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.109_0370_0389/；整卷众包转录全文	en	S1	ATTRIBUTION-UNCLEAR	lane=external. LOC 归在 'Speeches and writing by others' 下的往还信件卷（1880-1918）。实测：整卷中单独成行、署名为她本人的落款 2 处，抬头写给她（Dear Miss Barton / Miss Clara Barton 等）的 4 处。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
turkey-armenia-1896	https://archive.org/download/storyofturkeyarm00pier/storyofturkeyarm00pier_djvu.txt	Story of Turkey and Armenia: with a Full and Accurate Account of the Recent Massacres, by James Wilson Pierce	1896	整册扫描	en	S1	THIRD-PARTY;FULL-PAGE-SCAN	lane=external. 与她 1896 年亚美尼亚远征同年的同时代著作，记述同一场事件的外部视角。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1896 早于 1930，美国已入公有领域
turkey-armenia-1896-DUPSCAN	https://archive.org/download/storyturkeyanda00piergoog/storyturkeyanda00piergoog_djvu.txt	Story of Turkey and Armenia	1896	Google 扫描 storyturkeyanda00piergoog	en	S1	THIRD-PARTY;DUPLICATE-SCAN;FULL-PAGE-SCAN	lane=external. 同书另一扫描。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1896 早于 1930，美国已入公有领域
webarton-life-1922-DUPSCAN3	https://archive.org/download/cu31924092574338/cu31924092574338_djvu.txt	The Life of Clara Barton, ...	1922	Cornell 藏本扫描 cu31924092574338	en	S2	THIRD-PARTY;DUPLICATE-SCAN	lane=external. 同书第三次扫描。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1922 早于 1930，美国已入公有领域
webarton-life-v1-1922	https://archive.org/download/lifeofclarabarto01bart/lifeofclarabarto01bart_djvu.txt	The Life of Clara Barton, Founder of the American Red Cross, by William E. Barton, vol. 1	1922	archive.org 项 lifeofclarabarto01bart	en	S2	THIRD-PARTY	lane=external. 作者 William Eleazar Barton (1861-1930) 是她的堂亲，也是她文书的早期整理人；两卷本引录了大量她的日记与书信原文。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1922 早于 1930，美国已入公有领域
webarton-life-v1-1922-DUPSCAN	https://archive.org/download/lifeclarabarton01bartgoog/lifeclarabarton01bartgoog_djvu.txt	The Life of Clara Barton, ... vol. 1	1922	Google 扫描 lifeclarabarton01bartgoog	en	S2	THIRD-PARTY;DUPLICATE-SCAN	lane=external. 同书另一扫描。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1922 早于 1930，美国已入公有领域
webarton-life-v2-1922	https://archive.org/download/lifeofclarabarto02bart/lifeofclarabarto02bart_djvu.txt	The Life of Clara Barton, ... by William E. Barton, vol. 2	1922	archive.org 项 lifeofclarabarto02bart	en	S2	THIRD-PARTY	lane=external. 同上，第二卷。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1922 早于 1930，美国已入公有领域
webarton-life-v2-1922-DUPSCAN	https://archive.org/download/lifeclarabarton02bartgoog/lifeclarabarton02bartgoog_djvu.txt	The Life of Clara Barton, ... vol. 2	1922	Google 扫描 lifeclarabarton02bartgoog	en	S2	THIRD-PARTY;DUPLICATE-SCAN	lane=external. 同书另一扫描。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1922 早于 1930，美国已入公有领域
womans-work-in-america-1891	https://www.gutenberg.org/cache/epub/74085/pg74085.txt	Woman's Work in America (ed. Annie Nathan Meyer)，其中第 XVIII 章 'The Origin and Application of the Red Cross, by Clara Barton'	1891	Project Gutenberg 电子书 74085，文件头 'Original publication: New York: H. Holt and Co, 1891'；她那一章在第 16414–16817 行（APPENDIX A 起于第 16818 行）	en	S1	THIRD-PARTY;TRANSCRIPTION	lane=writings. ★ 分档同 red-cross-1895-doolittle：整册是十八位作者的合集，她只占一章，文件级别列 S1。她那一章是**新的一手内容**（不是任何一本书的重复），署名逐字 'BY CLARA BARTON'，开篇即 '...I am asked to make these explanations as a contribution to woman's work'。边界见 _BOUNDARIES.json。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1891 早于 1930，美国已入公有领域
women-in-american-history-1919	https://archive.org/download/ost-history-womeninamericanh017369mbp/womeninamericanh017369mbp_djvu.txt	Women in American History, by Grace Humphrey	1919	整册扫描；Clara Barton 一章在第 6147–6739 行（目次记 'XV Clara Barton 189'，EPILOGUE 起于第 6740 行）	en	S2	THIRD-PARTY;FULL-PAGE-SCAN	lane=external. 群传中的一章。边界见 _BOUNDARIES.json。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1919 早于 1930，美国已入公有领域
work-observations-cuba-1898	https://archive.org/download/jstor-25118997/25118997_djvu.txt	Our Work and Observations in Cuba	1898	JSTOR Early Journal Content 扫描；文首署 'BY CLARA BARTON, PRESIDENT OF THE AMERICAN NATIONAL RED CROSS'	en	P1	HIS-OWN	lane=writings. 她论古巴赈济的署名文章。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1898 早于 1930，美国已入公有领域
young-centenary-1922	https://archive.org/download/clarabartoncente00youn/clarabartoncente00youn_djvu.txt	Clara Barton: A Centenary Tribute to the World's Greatest Humanitarian, by Charles Sumner Young	1922	archive.org 项 clarabartoncente00youn	en	S2	THIRD-PARTY	lane=external. 百年诞辰纪念文集，收录她生前友人的回忆与若干她的信件转录。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1922 早于 1930，美国已入公有领域
young-centenary-1922-DUPSCAN	https://archive.org/download/clarabartonacen01youngoog/clarabartonacen01youngoog_djvu.txt	Clara Barton: A Centenary Tribute	1922	Google 扫描 clarabartonacen01youngoog	en	S2	THIRD-PARTY;DUPLICATE-SCAN	lane=external. 同书另一扫描。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1922 早于 1930，美国已入公有领域
young-centenary-1922-DUPSCAN2	https://archive.org/download/clarabartonacen00youngoog/clarabartonacen00youngoog_djvu.txt	Clara Barton: A Centenary Tribute	1922	Google 扫描 clarabartonacen00youngoog	en	S2	THIRD-PARTY;DUPLICATE-SCAN	lane=external. 同书第三次扫描。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1922 早于 1930，美国已入公有领域
lb-unbound-1876-aug-1878-sept	https://crowd.loc.gov/campaigns/clara-barton-angel-of-the-battlefield/letterbooks-american-red-cross-early-years/mss119730177/	Clara Barton Papers: Letterbooks, 1876-1911; Unbound copies; 1876, Aug.-1878, Sept.	1876	LOC Clara Barton Papers MSS11973，容器 051 影像 0008–0125；resource https://www.loc.gov/resource/mss11973.051_0008_0125/；文本由该件 118 幅影像的转录页逐幅取回拼成	en	P1	HIS-OWN	lane=conversations. 这是 Letterbooks 系列——**她发出信件的存底**，不是往还书信卷，所以与 corr-* 各卷相反，文件级别定 P1。转录取自美国国会图书馆 By the People 众包平台（campaign 'Clara Barton: Angel of the Battlefield'）；www.loc.gov 与 tile.loc.gov 本次均被 Cloudflare 挡住（详见 _fetch.log），crowd.loc.gov 是同一批转录的上游，逐幅影像页取回后按页序拼成。 ★ 归属证据（逐字照录）：卷首 LOC 卷题条 'CLARA BARTON / LETTER BOOKS / Unbound copies / Aug.1876 - Sept. 1878'，其下手写 'old copybook of 1876-78 / Early R x negotiations / with Dr . Appia / M. Moynier'。实测整卷单独成行的本人落款 40 处（例逐字：'Whom the cold world knows as' 下一行 'Clara Barton.'），写给她的抬头 2 处——发出信压倒多数。118 幅影像全部有转录文本，其中 106 幅状态 completed。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域（依据是卒年规则与美国法条本身，不取自任何聚合器的 license 字段）
